,GSM1437845,GSM1437886,GSM1437894,GSM1437898,GSM1437908,GSM1437910,GSM1437927,GSM1437937,GSM1437945,GSM1437952,GSM1437960,GSM1437968,GSM1437986,GSM1437992,GSM1438014,GSM1438022,GSM1438026,GSM1438028,GSM1438032,GSM1438042,GSM1438046,GSM1438048,GSM1438050,GSM1438054,GSM1438058,GSM1438060,GSM1438062,GSM1438074,GSM1438082,GSM1438120,GSM1438122,GSM1438124,GSM1438126,Tarca_879_P10G02,Tarca_911_P10G06,Tarca_910_P10F06,Tarca_168_P2H09,Tarca_190_P2F12,Tarca_166_P2F09,Tarca_211_P3C03,Tarca_208_P3H02,Tarca_813_P9E06,Tarca_065_P1F05,Tarca_053_P1E05,Tarca_770_P9B01,Tarca_261_P3E09,Tarca_259_P3C09,Tarca_030_P1C06,Tarca_018_P1B06,Tarca_314_P4B04,Tarca_337_P4A07
440742_at,3.308363447,4.800535482,3.763196309,3.98763254,5.19788381,4.215955189,3.404878664,4.996588233,2.58077411,3.181730764,4.908255492,4.594565891,4.31853409,3.664668909,5.059434255,2.539598122,5.282281712,5.591243382,4.706609063,3.156086995,2.753284116,4.88955064,4.153907286,4.331311753,4.157921199,2.522755181,4.46725266,5.237963506,2.940724931,4.097663935,3.683078983,4.826869059,4.964224319,3.801356936,4.110659088,3.99826339,4.068202761,3.928582871,3.704906812,4.262394483,3.78507761,3.498570593,3.588701219,3.584581184,3.992248562,3.51785502,3.888039817,3.346366724,4.08199144,3.788120042,3.834702899
27002_at,6.582376137,5.79452041,6.208943479,5.7288132,5.545236962,6.797009823,5.891009246,5.533582078,6.145620789,5.121854759,5.561589222,6.761423386,6.529637579,5.986243683,6.21602661,5.990415091,6.804762367,5.954132266,6.083093297,5.988238034,6.398129291,6.613516103,6.166339501,5.957505623,6.021710593,5.512599416,6.523468072,6.661615848,5.726253967,5.500376806,5.764475475,6.425698998,6.184556427,6.023318668,6.11888675,6.435397173,5.969765067,6.356858003,6.768728845,6.31673937,5.949458664,6.67357929,5.170278873,6.461208475,7.069755118,6.59146051,6.136277652,6.369495864,6.611363118,5.810179005,6.911684432
728660_at,3.925916253,3.098775977,4.254368016,4.594177197,2.712900014,3.79681773,3.471502288,3.472562158,5.083455361,4.49916876,3.577071741,4.039281433,3.557248953,3.468082065,4.461335144,3.199186897,3.488629138,4.573271896,2.878100066,3.574243498,2.976054101,4.497014514,4.822664226,2.476547664,4.307270455,2.449529266,3.959305904,3.734505587,4.617888749,4.009566115,3.697773079,4.061643808,3.671336435,3.386111195,3.314078369,3.507245571,3.345370265,4.179487626,3.861901736,3.749495216,4.205441,3.172646427,3.953683993,3.951213326,3.727236773,4.102740611,4.12698983,4.025864977,4.049737712,3.585046912,4.024283548
693140_at,2.250933967,3.341817598,2.250586993,2.19959229,2.938866167,1.793541042,2.033555417,2.697338675,3.1304097,2.056669054,4.241370238,4.236408672,2.201583485,3.745181587,1.55047249,1.626870434,2.474820899,1.817265993,3.393454176,2.371934181,2.451540727,3.547649895,1.956141927,3.334594802,2.031729106,2.443336227,2.709456589,2.18883442,3.830429922,3.141884407,1.911826813,2.375829613,2.053231726,2.4677996,2.319298009,2.781435904,3.163911409,3.338343696,2.808979799,2.54155357,2.548362173,3.292311056,2.633654724,2.461764253,2.917511269,2.551844941,3.231255989,3.287172505,2.407517986,2.686968096,2.804943893
64167_at,7.238551134,7.952349327,8.206903484,7.687189988,7.994246372,7.673849835,7.596215714,7.502289952,7.507770171,7.857478511,7.697523672,7.675793771,7.540188998,7.598847691,7.692132159,7.919209863,7.116772829,8.05306665,8.249653796,7.62943968,7.835329733,7.960218189,8.071384999,7.778864736,8.097591248,7.710208212,7.823014243,7.739061702,7.660619902,7.245415289,8.467620407,8.156808913,8.132112462,8.177743576,8.32716015,8.408413711,7.737838585,7.951651962,7.877747021,8.107549503,7.930450327,8.150874751,7.514490437,7.797222093,7.648568744,9.025633532,8.860518742,8.811750398,8.495549739,8.482299009,8.688994264
79056_at,7.312329352,6.850827884,7.20929163,7.609550946,6.486967434,6.940217546,6.948126799,7.46753345,6.671642037,7.546804591,7.853106622,7.395889204,7.415401894,7.185078483,7.417476672,6.601089389,7.345455668,7.200703004,6.648457669,7.581971044,7.418695621,7.484897921,7.112800302,6.88341617,7.20356264,7.275441824,7.593004347,7.10861952,7.064117333,7.081494541,6.910394172,7.184242806,7.56741302,7.468672705,7.595065851,7.741000457,8.320759579,8.700132254,8.683285071,6.582839633,6.559173955,7.626796191,7.554427364,7.724767212,7.055686793,8.11955896,7.675063068,6.941853372,6.238896188,6.958444629,7.48620789
102723828_at,3.995223783,5.538483973,4.986481194,3.901542832,3.852301486,3.264758556,5.928969856,4.936846988,4.503007471,4.839604483,3.632537883,3.502240241,4.440213512,3.965347467,5.12957429,4.67277077,3.528225681,5.331500851,3.825067605,3.83904027,4.565337897,4.640290839,5.096094031,4.004039058,5.237107757,4.265667775,4.469814322,3.891311214,3.887803363,3.659287254,3.845126167,3.71675894,4.203657798,3.940195673,3.983681674,3.853699333,5.587102698,5.285771064,5.462591295,3.617306681,3.70137283,4.110722211,3.766137061,4.056528909,3.85821487,7.341185981,7.296447828,4.477944443,4.251209157,4.094414193,4.169536172
100288486_at,8.171472974,8.541619428,7.738341317,7.893273154,7.903485392,7.125183165,7.952190625,7.932932414,7.645471165,7.644599442,8.167626239,7.698085032,7.845034919,8.066531973,8.051627036,8.030421922,7.167337235,8.66563845,7.237934755,7.864233565,8.023291604,7.817040295,8.123834714,7.143908226,8.789516873,7.477567095,7.258100946,6.757565545,7.870908552,8.779050461,7.238769547,8.243033646,7.469682721,6.749051159,6.968002985,6.93336897,8.723602906,8.481076432,8.76409762,9.407767597,8.978169372,6.893304499,8.486086204,8.518104706,7.617844308,7.548091995,6.956659601,8.780023798,8.470973611,9.777240575,9.287239172
5197_at,6.244682948,6.189079257,5.976147165,5.379152748,6.651432379,6.062502747,5.628413667,6.040689426,6.126882365,6.098513382,6.141795911,5.87111851,5.62460494,6.757985624,5.894215258,5.264359123,6.707353015,5.788843336,5.966841027,5.290997964,5.84656942,5.857495217,6.214869757,5.351875397,6.557744475,6.26487442,3.411592923,6.784362188,5.392029474,6.450153448,4.852238013,6.208925544,5.928973889,5.853819184,6.583796058,6.223600951,6.60255025,6.361054597,6.459934809,5.295671652,4.804860069,4.698542729,5.900679643,6.500314554,4.890611377,6.037574795,5.73689261,6.14179197,5.463211589,6.521093444,5.951511402
28516_at,4.309176588,3.870150384,4.98930957,4.018350519,4.14306537,4.658900728,5.546342581,4.018666833,4.118311943,4.219656213,4.473341073,4.044312391,5.000703977,3.785470892,3.171996372,4.274417409,3.567766733,4.167734978,3.783199955,4.182721909,4.974804309,4.620224445,3.777173823,4.470618264,3.707728311,2.834395779,3.973881257,4.503966832,3.495304396,4.563836992,4.501841339,3.435818906,5.322669912,4.366349161,4.466605659,4.838289277,4.248350866,4.201405033,4.237426642,4.114041152,4.239718213,4.199707503,5.178246513,4.195356122,4.173428384,4.613745187,4.592558749,4.071234242,4.707603992,3.531905969,4.570957335
284802_at,5.040472316,4.181033753,5.772447593,3.974876156,4.612877612,5.476931416,5.516309046,5.51795648,5.503280353,5.006096721,4.727074862,4.924174676,4.471388023,3.84300408,5.68156656,4.740517814,3.648105422,3.908128673,5.057619287,3.545250849,5.519190755,4.039858563,5.096200317,5.75549311,3.705996837,5.488368952,5.10196547,5.060040212,3.652161499,4.888940678,5.212821055,4.321831154,5.570723465,4.947170708,4.863543281,4.748126678,4.737129891,4.716080979,4.602536402,4.81224789,4.890625232,4.759418124,4.500538923,4.713498425,5.509283231,4.865290998,4.929467597,5.255673374,4.88121232,4.57905455,5.28594219
105369519_at,6.187668988,6.565775472,6.70411312,6.201722688,6.743974813,6.765670765,5.915318288,6.402725947,5.729534569,6.880773937,6.939557578,7.291445167,6.452754881,6.901528232,6.65536153,6.287982927,6.96441971,7.03262763,6.635312689,6.554208996,5.96797174,6.52566296,6.304274373,6.431095067,6.455297868,6.581008988,6.45673521,6.696722832,6.505962016,4.806146123,5.375705455,6.315380079,4.688712496,7.203257901,7.433775674,7.031069567,6.367440735,6.396174947,6.5043634,6.041937241,6.371890156,6.032320431,6.098754869,5.75202197,6.794976561,6.129494642,6.176700755,7.343879364,5.852156937,6.964653971,7.077243329
389740_at,3.284074946,4.510087459,3.894450671,4.183746034,4.964072867,4.086868598,3.790692626,4.086565974,3.431641494,4.8097909,3.921125091,3.422778588,3.633364203,5.333588355,4.691654123,4.449707521,4.696745482,5.030924255,3.9496902,3.743405556,3.997499316,3.731171665,4.723595733,3.499003995,4.132648483,4.622382963,3.858547927,4.627320572,4.976542574,3.758179955,4.596541842,3.700546433,4.697795491,4.973123312,4.247629228,5.566650862,3.943220145,3.344760708,3.820446233,3.583376152,3.716047659,4.351022911,4.141553716,3.854076576,4.153823235,3.86479515,3.911759197,4.675661779,3.570201691,4.408233352,4.171896821
105376745_at,2.689258885,2.724246611,4.143824489,3.206704641,2.989144045,3.413113856,4.135268807,2.413965223,3.180188067,3.608459648,2.572944134,2.770784874,3.083870412,3.002625144,2.803828717,2.759675587,3.294122804,3.566206658,2.821859613,3.285861204,3.064764912,3.133341219,2.749757932,2.829109596,3.098841041,2.783117996,3.142445374,3.912884499,2.642590827,2.667867778,2.988063787,2.674509852,3.027488526,3.732089981,2.891155099,3.55768159,4.009767581,2.811898771,3.400870625,3.807822186,3.133845458,3.061115105,2.199725874,2.552262195,3.124920971,1.974849098,2.85385638,2.638918258,3.350167892,3.520499752,3.867647812
107985457_at,2.446732253,3.340674887,2.389019898,2.622568487,2.206570886,2.401337688,2.648868232,3.152096387,2.104061781,2.371399231,2.182864644,2.239710514,2.387512703,2.350887146,2.80919297,3.298963796,2.551349124,2.059401867,3.196588192,2.239699016,2.649473488,2.628542752,4.310189139,2.970477434,2.819919039,2.439524316,2.592116311,2.289051418,2.346700058,2.452912884,2.420700606,2.556324683,2.102313241,2.557619776,2.86231568,2.88294303,2.559978589,3.01971163,2.705001388,2.624921517,2.640758959,2.948570162,2.697513689,2.822102572,2.823255176,2.725699949,2.955753152,2.512577507,2.966277246,2.687878049,2.631948216
692208_at,4.714788155,4.400408329,5.531092258,5.178726747,3.900734747,5.904861411,3.829755543,4.093812887,4.144987124,4.409763269,3.765859544,4.167763668,5.895572506,5.595759059,4.683356325,4.516971517,5.604863503,4.033694708,5.892164709,5.1610403,5.448016505,5.538391758,3.747904225,4.076076441,5.222896341,4.249375906,4.653320913,4.293806707,4.97486995,5.286805913,5.507225692,5.899532611,4.424877364,4.717971555,4.690628868,5.202820116,4.621849861,5.018165392,4.428013542,5.285974502,4.792059978,4.573058703,4.757140092,5.228147032,4.08157532,4.492977578,5.242900561,5.503762532,4.307220871,3.814182603,4.939317972
28712_at,7.497762739,7.227460858,8.02039351,7.077836038,7.793531982,8.350388332,8.621460438,7.126690058,7.818848584,6.302894326,7.203568968,6.963938144,7.528431712,7.751266971,7.123665004,7.905497287,7.284396937,7.321805866,7.546095977,7.70966214,7.764717801,7.352342559,7.072920352,6.941231004,7.306369782,6.918560065,7.756438433,7.232642886,7.490018843,7.153550178,8.067126411,7.537799951,7.223961485,7.037439877,7.429643022,7.439576442,6.597648493,7.53197498,7.407681363,6.961054554,6.879039291,6.964413269,7.520388977,7.513641258,8.114434258,7.230871701,7.529664235,6.542480675,6.683886965,6.715750533,7.798034513
100422896_at,5.062220607,5.816702518,5.307669683,5.365671704,4.838754774,5.986675532,4.840204184,4.336446949,6.143090626,4.807208684,5.89529121,5.853728868,5.633513354,5.237697153,5.003650517,5.790234776,4.835009654,4.494372992,5.082124186,5.620236465,5.275034889,4.885688563,4.550124879,5.794722679,4.744754144,4.726190891,5.253227596,5.628376208,5.074590757,5.320374264,5.491077486,5.093524961,5.412495412,4.887509926,4.857898123,6.11846594,4.889137356,5.003788565,5.743486596,5.221733431,4.563705367,6.824813688,4.60356058,3.867563743,5.167250564,4.712105182,4.902634354,4.856661556,4.557803236,4.435568188,5.26409777
3119_at,7.935643056,7.271998751,7.449168993,7.524240549,8.158095323,7.785437394,7.698662786,7.137178863,7.484353499,8.796683433,8.291356776,8.209563677,7.386925007,7.327503596,8.077399466,7.935030144,7.617829702,8.339104574,8.157661538,8.506645599,7.827127576,7.060102954,7.638282907,8.450652752,7.664918403,7.558205909,7.491513446,8.482568308,8.114357204,7.794476301,8.487454873,7.479848001,7.555149697,7.886220537,7.647838579,7.575608376,8.489976973,8.534098022,8.339247245,8.651273961,8.917208121,8.859383945,8.789339709,9.124618779,7.982892646,8.316880475,8.367930987,9.989078067,9.730242191,7.408995713,7.384039924
441864_at,6.556423388,5.0532535,6.031691367,4.446841178,4.558461184,5.295616883,5.044638507,7.346348268,4.943503336,6.185368047,5.827741456,4.939978873,5.539740095,6.095713961,6.121056591,4.558709643,5.658118245,5.05800655,5.202140257,5.782573946,4.935309229,5.661816831,5.669151965,4.660919791,5.447553702,6.992882942,5.308896001,4.997908946,6.62387638,5.916047052,5.268772609,5.172430314,6.835817324,5.020538662,4.953967409,5.114553743,6.117448166,6.604568611,6.351648424,5.635187337,5.894757617,5.000415157,5.73443954,5.989492912,5.383905054,5.343548093,5.256696641,5.104549691,5.289673589,5.18157434,5.177585592
28720_at,11.76660763,11.83492163,12.711094,11.74661255,12.48633212,12.27003493,11.63504264,12.07239349,12.77806809,10.50505346,11.80317906,11.42553565,12.25865304,11.97992612,11.44297423,12.76146806,11.50398153,11.67158121,12.48633212,12.15055575,12.68090432,12.24120936,11.65169268,12.17393144,12.01015569,11.88892007,12.90839033,12.15535139,11.80982316,11.94956567,12.87034514,12.15846557,11.95789748,12.10004654,11.98785942,11.94948865,11.72062982,12.21416941,11.70415406,12.07409317,11.82317267,11.59063623,12.13974183,12.00181539,12.89994681,12.54756347,12.25734899,11.5516719,11.42648242,12.19890939,12.30317443
28904_at,4.076284872,3.830403417,5.533844369,4.626066948,4.226217182,5.289336046,4.590317954,4.078401584,4.901868062,4.216660474,4.276866339,4.678831925,2.955587906,4.734693724,4.323173912,4.459347133,4.187048358,3.716392206,4.514714648,4.044513736,3.771561421,4.869797345,5.136488061,4.114503908,3.533463437,4.355893632,4.477830171,4.868507076,3.509333784,4.771805472,4.926381151,5.052267698,5.593968561,4.396523951,4.48470936,4.173454148,4.725394633,4.227322772,4.436204798,4.141955347,4.25643327,4.64569472,4.529870627,4.62821044,4.355834555,4.238289282,3.887673341,4.161959106,4.397197443,3.880735889,4.615659401
107986182_at,3.780532179,3.19172912,3.624217397,2.989436734,3.697415957,3.341973301,3.917264912,2.59897332,3.299048333,3.449470703,3.151331137,3.492256423,3.983960276,4.25608087,3.784811481,3.165367452,3.329421555,3.809003838,3.200331798,3.897946391,3.295557123,3.228956998,3.68765245,3.224319564,3.337227697,3.763110823,3.048523595,3.579196409,2.937362661,3.18942634,3.349521117,3.394950126,3.192949154,3.456958108,3.461995865,3.51910774,3.787676513,3.612247313,3.924483265,3.139560767,4.157577916,3.7058355,3.37007004,3.445133041,3.110927623,3.383268131,3.562940257,3.076780283,3.96861234,3.747782927,3.696983098
100616152_at,3.462471013,4.202137673,3.51583291,3.759359162,3.686940563,4.278680105,3.93455148,3.849815816,4.016354134,4.346288707,4.088119142,4.212259785,4.359124466,4.750023887,3.741215853,3.691839029,3.846981177,4.159547318,4.985974728,3.529887515,3.852970347,4.315044323,3.828137156,4.971511977,3.995043403,3.866817557,3.678765913,3.417236285,4.092086465,3.968379498,5.168350504,4.555052776,3.68669279,3.390179215,3.749436752,3.149089164,4.080744111,4.310555537,4.3596607,4.589642049,4.648031178,3.842362969,3.200138057,3.798555596,3.489547218,4.301469474,4.338595697,4.437937871,4.697483217,4.348084748,4.691433367
105374653_at,2.97137436,2.641552205,2.527658552,3.06999034,2.699383938,4.200305356,2.622631388,3.640127605,2.460240578,3.007918609,2.908348386,5.038858956,3.182373567,3.151776027,3.074664601,3.490002786,2.47924266,2.994816207,3.410525705,2.870079416,2.669349952,2.944908169,2.739159705,2.697483981,3.407765201,2.969946765,2.967821313,2.459591049,4.74222252,3.125588632,3.165657636,3.148404679,2.813617958,3.184670732,3.421335295,3.479672423,3.238352857,2.911724326,3.271210547,3.24579122,3.588908661,3.24184681,3.502538071,3.874846964,2.783038353,3.698303035,2.812050841,3.868418313,3.858972126,3.130943117,2.76650572
938_at,6.268390839,5.519511225,5.76830091,4.84958062,4.600220911,5.462653509,5.279066204,6.299753841,5.107626293,5.728483939,4.953647418,5.015906754,5.107121957,6.02082959,6.290536976,4.958679145,5.490723736,5.250916566,5.171267589,6.044368989,4.873603222,4.969399662,5.772497151,4.694906621,5.55619776,6.13062941,5.340547086,5.356973785,6.113029303,5.677951945,5.38232292,4.903186304,6.219690099,5.082510122,5.152233315,5.918651727,4.926936094,4.930627814,5.775235868,4.429667484,4.870662781,6.098687237,5.570732862,5.976481898,5.171846352,5.740995858,5.834376669,5.834152463,5.739719646,5.525209294,5.577228029
8876_at,8.020047786,7.87627409,7.264647992,8.296298662,7.063113056,8.07214829,7.642263561,7.663972046,9.104747075,7.403036383,7.929316723,8.976337775,8.739558648,8.011550734,7.605165376,8.002844946,7.981447423,8.543714067,8.257638006,8.718661084,7.719289426,8.5049415,7.501180257,8.372396971,8.223886085,7.751785248,7.323137762,7.842897701,7.730888956,6.937672618,8.240223689,6.367377496,8.07731111,7.978617789,7.656703883,8.720329043,7.010169961,7.100026703,7.235319653,7.523098295,6.921981955,8.607951429,8.288846497,8.487139569,7.292415939,7.560704491,8.040496576,7.430382265,7.605092689,6.855435173,7.486572864
6374_at,7.157659555,7.01692469,6.050558866,5.687802265,6.409275773,6.422991144,6.515753465,6.972798402,6.642530583,6.683180493,5.811132909,6.027427329,6.28951776,6.016879949,6.515988618,6.177326478,6.652592305,6.526941447,6.313815401,6.048203175,6.742487223,7.103599499,6.850787692,6.439780581,6.348879296,6.401495946,5.447539944,6.135563193,6.046773808,6.693033136,5.848764045,6.329727994,5.674280063,6.087637206,6.72264404,6.33549452,5.904438115,5.871194964,6.154630068,6.782697004,6.097573033,5.68354908,6.403907502,7.117008088,6.110203655,6.345759531,6.308679997,6.538363929,5.72709067,7.187283229,7.096272096
107985072_at,2.944859478,3.737257377,2.99652879,3.739861656,4.684489139,3.535949445,4.322314551,4.153944579,3.098213701,4.717212644,3.068982899,2.707243977,3.20693001,4.180427212,4.983693305,2.969920042,3.753108493,5.30604257,2.850517589,2.652190473,2.895869103,2.588713662,3.610403015,2.130558672,2.281039424,2.593135245,4.275127684,4.632117226,3.88189805,3.095342938,2.07448823,2.093297278,4.721614356,3.421301244,3.64627902,3.134755916,3.270251146,3.599013746,3.114666814,3.121148818,3.786207541,3.366142063,3.457193884,3.19631173,3.137609793,3.529979076,3.090861325,3.024580881,3.293275301,3.227896044,3.151129967
393046_at,3.331177493,3.532050838,3.167991953,3.178217964,2.966829465,3.264346831,2.817372903,3.347704025,3.057613753,2.897262008,3.261423001,2.561130411,3.236160104,2.888364792,2.847863799,3.127661908,2.6709376,3.066302585,4.030201917,3.030331458,3.199269373,2.870689663,3.007573768,4.001498765,3.066231336,4.217607545,3.824376704,3.327415327,3.206712842,3.362737055,2.700912835,2.563649515,3.142933075,3.38973343,3.262721996,3.269882712,3.724923406,3.597956859,3.475941322,3.361942104,3.537751133,3.474082746,3.415627525,3.477172283,3.583692525,3.493088678,3.33405376,3.574519859,3.468481772,3.672353732,3.256718022
28710_at,8.636849268,8.436151994,9.096784262,8.692555221,9.175840217,8.846096535,8.495960213,8.855100164,8.983200553,7.578119892,8.701147111,8.150772117,8.799217226,8.480092239,8.431994366,9.151308033,8.332127548,8.136275562,9.140581742,8.513991682,8.948266749,9.100039503,8.399194401,8.743921596,8.560130003,8.525625936,9.276625359,8.671887788,8.482444909,8.901333164,9.175840217,8.928090491,8.643396972,8.081262244,8.52120941,8.228350154,7.857573152,8.544788,8.431019288,8.322221402,7.951222039,8.277375279,8.786906276,8.482259667,9.296661733,9.345892914,9.21089505,8.042672147,7.103006678,8.747059883,8.87360287
2856_at,3.700805246,2.805204749,3.004711709,3.598001205,3.148362137,3.566469192,3.106048049,3.267249486,3.108688855,3.988187276,3.971570282,3.113991485,3.108849641,4.566506693,3.973277901,3.480145724,3.283975348,3.536536394,3.042282928,3.439322438,3.475631221,3.305331078,3.060627843,3.337115206,2.856710062,3.347034147,3.118645297,3.569664042,3.705409619,3.463720745,3.297528012,3.630207853,3.285352381,3.544834422,3.623766595,3.998707151,3.620244664,3.433031601,3.539665086,3.52452726,3.663462589,3.641403872,3.677655731,3.559933537,4.002893693,3.109700359,3.495347716,3.497664245,3.763575964,3.428015481,3.487852936
