,GSM1437810,GSM1437857,GSM1437861,GSM1437880,GSM1437888,GSM1437943,GSM1437978,GSM1437980,GSM1438052,GSM1438056,GSM1438072,GSM1438078,GSM1438096,GSM1438108,Tarca_205_P3E02,Tarca_203_P3C02,Tarca_742_P8F09,Tarca_765_P8E12,Tarca_739_P8C09,Tarca_107_P2C02,Tarca_128_P2H04,Tarca_106_P2B02,Tarca_271_P3G10,Tarca_269_P3E10,Tarca_600_P7H03,Tarca_597_P7E03,Tarca_492_P6D02,Tarca_920_P10H07,Tarca_919_P10G07,Tarca_918_P10F07
440742_at,4.098267996,4.122744788,5.516536374,4.116509544,4.691106569,5.321166272,4.72838501,4.791112812,4.148962925,2.864082176,4.117483156,4.611144924,3.077583241,3.448181941,4.494732723,3.939017086,4.008064946,3.926728428,3.955334717,3.944187413,3.902597775,3.846071113,3.802584872,4.151860736,4.120794982,4.016928846,3.703435197,3.703619877,4.3316735,3.67871617
51191_at,7.6457313,7.331460153,7.126206753,7.119886393,7.708690785,7.513264464,8.666225555,6.642123721,6.863080367,7.102287934,7.396845946,7.59517478,7.865044418,7.703436649,7.334892549,7.288369558,7.281276415,7.349870366,7.418263498,9.377928725,7.220929892,7.027137237,7.441756778,7.878489751,10.28163561,10.05648446,7.779388464,6.890642549,6.715954068,6.897675569
28500_at,2.804286006,2.673473973,2.699758959,4.698805101,1.584029396,1.922854523,2.06426652,3.933794376,4.905811824,3.109186766,3.576018331,1.528342928,3.186838725,2.946431742,3.751957466,3.529495919,3.478545959,3.417595394,3.405709267,3.197772444,3.746259357,3.202475119,3.628070279,3.344265771,3.660535034,3.393274923,3.106388115,3.498181661,3.291092129,3.849299171
100616152_at,4.746683906,3.780223551,3.631692573,4.31470988,4.444920825,4.381421669,3.818481041,3.973211174,3.939193671,3.843877048,3.753390958,4.463291952,3.683242336,4.010554031,3.965094728,3.503378696,3.785300853,3.656441697,3.602474054,4.687291638,5.580824841,3.098168843,3.342003237,3.595200288,3.643073621,3.778064951,4.747443634,3.407123579,3.485833126,3.4394581
193629_at,7.065838066,6.429848746,5.705346467,6.836848628,7.273727452,5.517233586,5.832744123,6.458694437,5.605164081,6.242566781,4.832509892,6.510642221,5.031524288,5.798285166,5.861764643,5.568505354,6.169275679,6.344332375,6.291302086,5.859483709,4.632686832,5.278071334,5.381993049,5.363441963,8.095569328,8.513531889,7.695407628,6.287391345,6.242485434,6.312427792
140_at,5.266395445,5.75763524,5.746758129,6.508267126,5.00950801,6.432660399,5.504725247,5.273690978,5.212351474,6.124276285,5.766629483,5.302998032,6.637064092,6.279462624,5.115850882,5.164238485,6.030674308,5.724257528,6.200220688,6.132879023,5.037446578,4.738668382,6.268910348,6.191465488,7.056598947,6.890978482,6.084867954,5.536298191,5.654652113,6.098166281
105369725_at,7.364069776,7.229780393,8.316186136,7.329382908,7.548368771,7.389515537,7.416247955,7.123052838,7.451886121,7.263190078,7.328599136,7.020987724,7.199058861,7.320929481,7.771632181,8.326897605,7.532471128,7.787757488,7.992988725,7.129685309,6.875984729,7.21312552,7.337293501,7.677653371,7.115545806,7.073792147,7.82447175,7.734252225,7.714481839,7.662179496
1116_at,9.1319252,9.689453061,9.108640555,8.769157266,7.252772737,8.496569457,8.674384431,9.050174689,7.77918873,7.97137585,9.252566875,9.6969734,8.860016415,9.394050222,8.935895856,8.81894293,8.334563086,8.4769672,8.311787118,9.915793427,8.62180922,7.623899814,7.893848693,7.893580343,8.651011637,8.520767411,8.334019276,10.27603308,10.09848054,10.1053916
285505_at,5.888391763,5.396300416,6.06752116,6.199215601,5.382639747,6.591345655,6.715305085,6.262983001,5.427624693,5.731867413,5.614663793,6.158397872,6.059801092,5.570311189,6.839068198,6.788178645,6.131030102,6.047003219,6.110608043,5.537222301,4.876849459,5.771183731,6.848426789,6.516443947,5.707514766,5.816346686,6.117333095,6.180899241,6.144273156,5.960839837
81466_at,3.330539675,4.971954041,3.333308162,2.38410095,3.211264911,2.94863687,4.746957698,3.028073519,3.663788007,3.058572258,4.729042303,2.88574173,4.714609875,3.458524634,4.183063615,3.937471547,3.795409934,4.284864039,4.081370148,3.704615383,4.369364526,3.942495833,4.10634894,4.157471317,3.975654688,3.944302398,3.812505142,3.851140876,4.392181592,3.533405924
105373206_at,4.501348471,3.715114973,2.909804323,3.278094959,2.460647474,2.741130931,2.765090443,1.851371106,2.99711688,2.597500293,3.492559741,3.403563676,2.752455568,2.571984677,3.398661359,4.294114591,3.512936248,3.036033743,3.408990028,3.219267855,3.669915263,3.011881777,3.14856982,3.451981392,3.519366929,3.167335283,3.802728556,3.371947864,3.655464655,3.508573223
1556_at,3.155590549,4.014114144,3.443338689,4.112889561,3.260371368,3.115387755,3.361024574,3.880031754,2.696914995,2.991967865,4.206961392,3.108999801,3.213081684,4.859312062,3.95935497,4.011381027,4.036294286,3.985330183,3.903346819,3.880377421,3.643232076,3.913008717,4.052347945,4.084368254,4.073709769,3.890793367,3.846470639,4.100798894,3.86651046,3.820980653
100132932_at,3.670010422,3.831169357,4.685765401,4.376608365,4.12554289,4.637091771,4.304585421,3.130808514,4.096183143,4.239286166,4.640229312,4.670231518,4.355633118,4.73880678,4.690975901,3.819203826,4.172767322,4.400413258,4.631311882,4.855862613,4.033101851,3.90974796,4.613970799,3.888768499,4.176663949,4.083964916,4.306864186,4.07013709,3.700007451,4.544070627
100147823_at,2.053032114,3.114274463,2.157134162,2.469293787,2.38812898,2.055402556,2.339734737,2.229219155,2.352198369,1.985420367,3.015226299,1.914673438,2.409884763,2.415641646,2.436706653,3.177802459,2.094107385,2.262344025,3.365747001,2.394984006,2.440877374,3.115031073,2.146021296,2.674941811,2.196571079,2.674319973,2.607651283,2.350094472,2.622381842,2.505924879
100616313_at,4.682568833,5.521422756,5.506938969,4.687066973,4.71495808,5.635378695,5.254729846,5.0403457,5.089790842,5.249334078,4.939118898,4.783611626,5.007331754,5.654136384,5.449481754,5.450612193,5.533758835,5.153751338,5.172146528,5.086113915,5.45277681,5.348570744,5.534635805,5.20700014,5.573608741,5.33916551,4.974101512,5.601039746,6.002463115,5.697195524
6347_at,4.957252002,3.914102514,4.344477802,5.658661358,4.853997625,5.181382122,5.718973929,4.631159003,5.161794785,5.173083588,4.712303526,5.020665284,6.101402964,5.691144449,4.650050071,4.543910136,4.626251903,4.502140403,4.675145003,4.828032555,4.352152351,4.421214332,4.674807746,4.809898435,4.959462974,4.890852857,4.778390407,4.631470442,5.01095827,4.649924031
820_at,5.3651122,6.086618296,5.303267364,6.096013537,5.000360349,5.052740903,4.205390144,4.992759954,4.818346603,6.028754071,6.067618658,6.839681834,4.979961271,5.207534307,5.647325049,5.168259128,5.851578579,5.422622354,5.833477095,4.640005114,4.349343463,5.991428789,4.820118984,4.84885603,5.693738503,6.189787159,5.757862279,4.91063899,4.803932841,4.968985171
28520_at,7.061882431,6.860271095,6.833519633,7.251444396,6.675604052,6.656019441,7.318852153,6.914006409,7.106081113,7.141993615,6.727052462,7.019707222,6.843555224,7.430955416,6.102903138,6.369345791,6.161966536,5.906587604,6.627965806,6.431287545,7.44306611,6.747368487,6.469955129,7.076944039,6.852094621,6.950905179,7.287806961,6.573401289,6.73054649,6.546571273
28935_at,8.009934787,8.763396583,8.227877295,8.757745465,9.246943525,8.170235727,8.638590656,8.6279131,8.594945495,8.36812325,9.277226567,7.597780263,8.406085072,8.129969751,8.245133827,8.435208014,6.686261469,7.356967056,7.685825286,9.003861158,8.623393068,8.28208731,8.83119185,7.681336179,9.16092257,9.89328206,8.941528593,7.848392493,8.005204682,7.314536036
9732_at,7.317044788,7.230328528,6.929619867,6.953716765,7.215407278,6.554616633,6.880806459,6.809372498,6.734337431,6.716497195,7.217412277,7.022030916,6.602920724,7.02575086,7.289831746,7.115058551,7.194280622,7.229070679,7.13812504,6.909355008,6.157173918,6.768942786,7.626944913,7.842760763,7.150628878,6.971255007,6.860515756,7.391305506,7.102357517,7.513974829
105376505_at,6.22894945,6.743658688,6.153099532,6.686722414,5.645598164,6.300691286,6.639951113,6.4829333,6.386532777,6.280295882,6.844781433,6.197164479,6.383383787,6.228249677,5.795396395,6.166220372,6.869698557,6.922201668,7.061053361,6.544945839,5.574597185,6.451053054,6.32737381,6.575068972,6.293793587,5.858921449,6.335223657,6.678137,6.548133972,7.006956404
259215_at,7.110680001,6.918833078,6.115487012,7.372872591,7.520936416,6.712364724,7.219619448,6.591727442,5.836904178,8.075551553,7.521808576,7.121023344,5.707141265,7.934331966,7.62011587,7.968172819,6.282900858,6.554082719,6.821511968,6.316890343,6.444453486,6.79973845,7.081969759,6.882093384,7.543001118,7.704638179,6.819865476,6.926032105,6.973843573,6.729893819
677794_at,2.880131291,5.420877452,2.590311367,2.762482521,3.792286675,2.706688955,3.414534971,3.56448307,3.980474994,3.133875333,4.378271969,3.832001989,4.288916695,3.17332748,3.468766803,3.674593827,3.535594432,3.846253268,3.88499673,3.610808568,3.856349334,3.591197464,3.747278015,3.614929428,3.594860953,3.706814946,4.353509855,4.133921001,3.641521534,3.658118541
6983_at,8.728690046,8.287637659,8.055378892,8.700564169,8.882146996,8.299069506,8.920192059,8.567982234,8.609333448,8.282658525,7.897759572,9.333121602,8.394519267,9.048356771,6.842139824,7.105611696,7.918681315,8.377707441,8.096568896,8.473707031,8.382738239,8.006928824,9.308384672,9.190132001,8.792843685,8.295845896,9.555187361,8.204618608,7.729923292,8.144607079
28521_at,7.356266415,7.057661301,7.310200253,7.377381055,7.390625842,7.500942311,7.737688825,7.460709126,7.362778899,7.765527271,7.181691588,7.30780085,7.471920769,7.572893975,6.839214502,6.308598899,6.431925825,6.755079771,6.172223328,6.958721146,8.064562404,7.528805482,7.546064923,7.618170736,7.055232446,7.302449555,9.500035598,7.514517759,5.456177046,7.632709034
28409_at,4.391511084,5.557643527,4.870470003,4.398104632,4.554185352,4.11442645,4.868784188,5.073446736,4.57004468,5.186842271,4.533294474,4.60072,5.587387359,3.011998724,4.862361885,4.766488761,4.51184693,4.690602612,5.15473056,5.1539857,4.627893072,5.403688549,5.523754516,4.832475047,5.493371084,5.597385337,4.956905301,5.240360232,4.787937657,4.84615204
6283_at,9.541770192,10.32417579,11.02039345,10.61919222,10.10783704,9.886419773,8.65187289,10.39788284,9.685254364,10.43265769,10.59732051,10.30240427,10.16034907,9.930540504,9.759893719,9.371074907,10.26230239,9.302006486,10.134623,9.890315569,9.061428089,10.42043824,9.941682383,10.2356931,9.284121926,10.34916778,10.7002772,9.270320843,9.568299555,9.920915957
5742_at,7.444612882,7.187780431,6.641729603,7.57549516,7.609442185,7.105269292,7.712468202,7.093080843,6.255797183,7.912702948,7.81710651,7.529226981,6.668725752,8.04787602,7.574533628,8.262766579,6.979674541,6.78345242,7.15176316,6.820703522,6.903248348,7.11723575,7.633563522,7.607067347,7.312058397,7.372754841,7.505632737,7.540645747,7.484149152,7.321720103
3001_at,7.643224755,8.107309065,8.151725966,7.639005948,8.728441027,7.901931799,7.633065594,7.912521489,8.165646416,8.172625134,7.459191287,7.897217402,9.428950448,7.457086335,6.469912431,6.817232582,7.12379285,7.212500773,7.262758326,8.606193456,7.783701676,8.069924152,8.175236752,8.547455615,7.315738608,7.833071272,9.528099935,7.123750978,6.939331618,7.359910413
644165_at,4.337197423,5.164866104,5.616882487,5.463053528,5.28989579,5.929089897,5.441316667,4.840324389,5.769196971,4.501545661,6.340020527,4.58558954,5.32992597,4.572737648,5.058627448,4.724378262,5.007139875,5.004602245,5.231454575,4.592860524,4.725130009,4.701288487,4.923000253,5.161568204,4.896504202,5.037893713,4.579305814,4.819036628,4.832476511,5.039225595
93978_at,5.374997964,4.992139701,6.266721282,6.11139412,5.475872585,5.96483972,5.181447762,4.899273517,5.523161671,5.475367485,4.804728988,5.599052096,6.045555425,4.770096277,4.941193036,5.164010297,5.732134576,5.583622083,5.560936017,5.030827411,4.497658961,4.813818454,5.009769275,5.326609181,5.285737219,5.460668295,4.799955681,5.663137949,5.637438926,5.769098808
115352_at,8.431874256,8.097031143,7.892452901,8.281648347,7.939958683,8.16212335,8.739624779,8.567695789,8.67333241,8.234814021,7.489267849,7.817480252,9.093928899,7.591546816,8.301033497,8.208821105,7.18317004,7.795101975,7.60534422,8.067858869,8.962423909,8.095942773,7.97828846,8.180096562,7.775929637,7.683831805,8.928322076,7.785191463,7.528951995,7.541784658
105371295_at,5.858665356,4.172709328,5.491054021,4.436859788,4.812695913,5.285940048,4.322836452,3.821736618,5.093891182,4.008440306,4.589689212,3.993587031,4.6013503,4.547438052,4.587544654,4.570473083,4.754793306,4.866595511,4.91603271,4.661031049,4.272970714,4.487950506,4.381080859,4.386717468,4.49352413,4.831774008,3.948855191,4.387109522,4.586638944,4.753453993
221806_at,3.566409954,4.155735598,3.81722352,3.948520044,2.909258296,3.691077269,3.605625988,4.166654494,3.859260782,3.968946905,3.23137051,4.302498685,3.892880478,3.667449138,3.763249665,3.740409582,3.731933736,3.808653897,3.843337871,3.769819869,3.833758687,3.891731147,3.744309063,3.840753112,3.894808092,3.89246664,4.054042005,3.933421572,3.872916507,3.823299303
83700_at,7.100656728,7.064595386,6.291947711,7.19900812,7.325261338,6.543872027,6.756885219,6.646029265,6.286742637,7.28631524,7.24911363,6.794115612,6.207455526,7.967010474,6.699365168,7.423373637,6.334074589,6.168829924,6.51757731,6.204877395,7.209285765,6.720551281,7.06353592,7.255691047,6.823192414,6.658541273,6.721710973,6.799302167,6.770343266,6.685012582
389740_at,3.820128981,4.911867322,4.459079421,4.961761379,4.830667117,5.012290702,3.485440601,4.080426515,3.816521888,3.844961808,3.497430933,4.71038173,3.999047766,4.532467692,4.029363921,4.236029506,4.003882709,3.984777318,4.017241165,4.145190847,4.007359199,3.947412559,3.580815141,4.196726885,4.444506351,3.854148683,4.869719442,4.037315359,4.501824337,3.523827097
4939_at,8.820213824,8.613372958,8.395871123,8.672335763,9.00363708,8.977183181,10.40348138,8.897815107,8.885920419,8.423617363,8.606868253,8.96197447,9.291847372,8.908861724,8.817364754,8.999488044,8.755011426,8.810757876,8.860460913,10.3483491,8.967802045,9.178682901,9.327963949,9.233555135,10.85853462,10.56719,8.858679622,9.043584032,8.840832268,8.798835048
59340_at,4.685648411,5.720486863,5.251097634,5.949187715,4.765710963,5.74417527,4.681623343,4.480510116,4.637152179,5.739299658,5.300262635,5.058332388,5.658879861,5.926470811,4.693780686,4.886984195,5.145385813,5.129595728,5.139388484,5.636835992,5.495595188,4.627041683,4.922050564,5.48336771,5.737561881,5.672117482,6.330613985,5.037036172,5.029123937,5.198530985
112268312_at,4.182264521,4.724527372,3.702402757,4.748525177,4.303497584,3.374876798,4.317537878,3.913677692,4.430414371,4.621950419,4.102373273,3.187562657,4.480706091,4.529108214,4.011136776,3.879929933,3.840432773,3.843695103,3.647564886,3.473848681,3.872408981,4.506911334,3.864563067,4.242113258,3.391571671,3.832245322,4.203841122,3.814389787,3.879702036,3.680109433
64127_at,7.171657205,7.01318048,7.238034977,8.422988674,8.398888743,8.017684322,8.183471725,7.455153713,7.875400213,7.652743667,8.260525271,7.220193858,7.492123997,7.913644714,8.103419623,8.140927904,8.346693592,8.299409516,8.446442368,7.708125109,6.494410135,8.169890433,8.148825706,8.192727226,8.322445086,8.312260889,7.440782105,7.98207745,8.116324786,7.835968777
2815_at,5.972110639,5.557631729,5.271627625,5.660990692,5.96644136,5.533197465,5.869933563,5.38745075,4.917930197,6.128468804,5.970580147,5.594447536,5.128798729,6.067400645,5.651420412,5.828484591,5.287920653,5.493643891,5.070628395,5.263068634,5.337197065,5.351793995,5.647555861,5.541906445,5.353765349,5.551973857,5.883634692,5.797397596,5.661137823,5.53998979
107987136_at,5.857771886,6.046790157,5.929991706,6.497185013,6.488466123,5.805317357,6.145228768,5.823329392,5.038898057,6.481450426,6.196140031,5.908881844,5.603388304,6.026510637,5.226661863,5.669837205,5.515703189,5.720229253,6.128996174,6.519373413,5.898204643,5.520155043,5.224075464,5.127879572,5.802481948,5.877759313,7.284277412,6.151241182,6.991936854,6.215408166
6228_at,7.577899284,7.709053508,6.96960105,8.06122162,7.388265169,7.817467826,7.594307781,8.221777262,8.030181244,7.796324074,7.830702876,7.952473796,7.302947058,8.018919294,6.571227471,6.384065609,7.971645087,8.084825872,8.041289725,7.744146489,8.277873947,8.408713088,8.178494033,8.476155025,6.82269897,7.1321373,7.709653629,7.589282658,7.645152735,7.660959337
105374264_at,6.285533079,5.662178262,5.744421185,5.527492414,4.843174952,6.033638522,6.090951046,5.583912079,5.579431178,5.453026074,5.809836179,5.398658725,5.409828814,5.499964483,5.647112517,5.239401045,4.911633738,5.251620378,5.012644683,4.681865139,5.636509949,6.612171649,5.416409929,5.374970005,5.292295763,5.287311597,6.922736382,5.794034286,6.117161087,5.67247645
84777_at,6.853041958,7.358571755,7.102787655,6.655302724,6.850765299,6.999322604,6.742506861,6.696481548,7.155246095,7.367055072,7.449408246,6.831876689,7.03021708,6.80439229,7.482493037,7.284996529,6.813879865,7.02163935,6.982333869,6.482700167,7.144864482,6.82372101,7.415140466,7.555785231,7.133955313,7.073356742,7.199170151,7.566399865,7.538913918,7.274191871
692211_at,5.630015588,5.820261239,5.202021144,5.431528551,5.559927459,5.322701474,5.847488831,5.45867298,5.860653621,4.962367956,5.563102735,5.207185854,5.709986202,4.463483569,4.660903685,5.096773379,5.494335368,5.574254614,5.092920759,5.392718411,5.543055259,5.321421952,4.728773001,5.257847714,4.33137367,5.699486496,6.110425173,5.187358975,5.185111097,5.706076605
100533106_at,5.480115466,5.272848856,4.891141404,5.517562785,4.308489233,4.876531815,5.302949319,5.608901918,5.870142609,5.095781906,5.512654899,5.205353407,5.917692507,4.726711244,5.86576073,5.491532169,4.901020142,5.300556734,5.114530738,5.325519991,5.71700423,5.768260315,4.778973759,5.492111815,5.259918178,4.947626946,5.558110492,5.330391564,5.718002926,5.201250317
653489_at,3.507969531,4.658871602,4.58069416,4.188142687,4.257550351,3.966570859,4.551245146,4.384342914,4.58623932,4.981302599,4.410490043,3.777451933,4.449289198,4.253508704,4.613658391,4.793167368,4.646851188,4.622394785,4.582773391,4.74935483,4.683020622,4.840948523,4.558254702,4.693479643,4.410818517,4.499938945,4.387833608,4.357754478,4.328073133,4.462193502
101929007_at,5.537294692,5.507221443,4.859050862,4.907804935,6.147887307,5.975065154,5.759460641,5.691873444,5.797766156,6.118462948,5.532920588,6.144669865,4.95961651,6.19483742,6.189144407,6.002864378,5.681268913,5.506468913,5.363950635,6.271484442,6.07271495,5.323533598,6.512444275,6.366236677,5.719395092,5.995770442,5.329417975,5.507202196,5.439305676,5.656296831
102724142_at,3.67388731,4.532724115,4.175756258,3.565902411,3.286408624,4.811213343,4.315000583,4.23067539,3.673254856,3.942332795,4.328478042,3.013814043,4.625738106,3.04402914,3.849918271,4.141861443,3.736633645,4.236054434,4.035925288,4.207785808,4.121050342,4.326922851,3.790088683,4.201047673,4.115631243,3.862515611,4.310442101,4.001849548,4.378609477,3.788280052
649446_at,6.802729925,6.956589786,6.981255256,6.684810952,7.026372582,6.636368776,6.626949777,6.77696089,6.880073043,7.206214455,6.693988246,6.867365726,6.73045303,6.851091699,7.185162217,6.874970038,6.874208333,6.970724696,6.762151121,6.504566053,6.664751261,6.720685643,6.952077905,7.058257675,6.83679403,7.038959358,7.559855747,7.349706318,7.052057762,7.519850645
105377937_at,3.452837107,3.032983348,4.237265799,3.647212054,4.004847972,4.811474058,3.738827591,2.962980124,3.102235844,3.976747608,4.354857131,3.525298049,3.313912344,4.496628196,3.519644603,3.506619687,3.392867808,3.245301316,3.763119994,3.6399122,3.368895597,3.344494172,3.4807631,3.511506742,3.499806507,3.468086339,3.534041554,3.810714781,3.521382699,3.492086685
100129808_at,4.664798792,5.196897696,4.685003688,4.239270232,4.639117894,4.72895207,4.768775026,4.737730997,4.950364328,4.783909008,4.489167182,4.896538897,4.946776498,4.934632493,5.10091741,4.55483657,4.483216412,4.88301694,5.515449781,5.408006454,4.28898298,4.824086936,4.426279574,4.305573542,4.477645494,4.722181618,5.032443708,4.241796258,4.98642141,4.918669511
79346_at,2.394695185,4.656489394,2.980898519,2.749148428,2.986284272,2.567814898,2.502108373,3.938398311,2.550935384,2.424983213,2.907229564,3.740397941,3.686943309,4.932708647,2.772410677,2.974531654,2.911592112,2.935094843,3.063566853,3.017876574,3.001359951,2.820809625,2.76007697,2.86363204,2.99612852,2.626028254,2.805522421,2.943955986,2.788183407,2.75876764
100616169_at,2.66671587,3.106382469,3.08414174,3.071244599,3.26077017,3.397245341,3.089456505,2.659539834,3.971078688,3.096830956,3.124982447,2.917020047,3.363581458,2.93942331,3.337979344,3.036770806,3.123181466,3.704946638,2.993692796,2.560379407,3.316399083,2.964638737,2.948468582,3.38963666,3.112061004,2.870354041,3.037875646,3.003289504,3.301865891,3.154120406
280655_at,4.896867347,3.831895317,4.256087058,4.750159118,4.174123069,4.365949414,3.928799661,3.403919246,4.726053625,4.380662547,3.873035392,3.260056714,3.999632979,4.188680569,3.911544058,3.839205722,3.887259125,3.941706843,3.83556593,3.848173677,3.737989347,4.126586471,3.940772005,3.853014725,4.138623554,3.970878382,3.947526906,4.060466393,3.696826762,3.891305343
100616449_at,6.303109472,5.623188865,6.713079038,6.605940072,7.259315684,6.592761838,6.90300112,5.934159732,6.288293331,5.573132042,5.604685632,6.13611269,6.409996671,6.686408279,6.385589205,6.514576926,6.747531439,6.55946527,6.492125548,6.618923889,6.341870878,6.581591982,6.724835246,6.437637666,6.744132022,6.450354336,5.864760687,6.670790098,6.794787789,6.595412441
392309_at,4.664095658,4.00269427,5.19331661,4.834026967,4.723547927,4.291877172,4.827860307,4.186871018,4.721601546,4.886156874,4.072108337,4.184723768,4.469935481,5.443877681,4.521441795,4.62571739,4.410346771,4.178953555,4.383929522,4.414977631,4.2158192,4.254995022,4.468576932,4.12913955,4.382665318,4.340573987,4.103443856,4.585735322,4.325774589,4.419293109
107984124_at,5.109708755,5.685016492,4.892525885,5.60985282,5.183957156,5.066027268,5.024230207,5.961943748,5.297400587,5.529402,4.806203042,3.869237635,5.294269497,4.892351787,5.747105193,5.589087115,5.517510323,5.361577185,5.82266004,4.654412861,5.675950789,5.433108439,5.614192372,5.368047986,5.757611597,5.515706775,4.280456892,5.291257693,5.267979269,5.622769172
403244_at,3.641396551,2.973065705,3.795474332,4.303627248,2.551154135,3.158990576,2.920732864,3.093722324,2.69141451,3.14013046,2.563090914,3.102398147,3.529807922,4.04002715,2.595569393,3.549844918,3.464017959,3.157632853,3.025703868,3.324861716,3.98294784,2.751973013,3.524472489,3.72700658,2.931102484,3.551300482,3.100767039,3.219613175,4.170529365,3.049054124
348093_at,6.514286439,6.221224076,6.113263792,6.884858526,6.807334511,6.110521637,6.401940288,6.09923033,5.566829414,7.090009356,7.001860811,7.410789021,5.77874195,6.984130043,6.520440608,6.919562931,6.026636983,5.895401393,5.826333614,6.019500258,6.385795441,6.690220067,6.049026145,5.798500769,6.58573902,6.668006253,6.355555694,6.311555949,6.237830063,6.166110808
253012_at,4.513558046,3.907080668,4.370902458,4.865660524,5.118889054,4.683985073,4.815495077,4.106438447,4.289578876,6.150588369,4.259308605,5.155014043,3.808467214,5.26871625,5.862032497,5.481881009,4.722959425,4.405314144,4.488606114,4.368271557,4.333648006,5.468926932,4.529589822,4.300990815,4.503055857,4.883619918,4.585510366,3.850741122,3.929867748,3.940340287
